Uid,Sid,Key,Time,Value,UpdateTime
6173302506,985021106,light_sensitivity_value,1775858640,"{""light_sensitivity_value"":0,""time"":1775858640}",1775859673
6173302506,985021106,body_momentum,1775858580,"{""body_momentum"":0,""time"":1775858580}",1775859686
6173302506,985021106,light_sensitivity_value,1775858580,"{""light_sensitivity_value"":0,""time"":1775858580}",1775859673
6173302506,985021106,light_sensitivity_value,1775858520,"{""light_sensitivity_value"":0,""time"":1775858520}",1775859673
6173302506,985021106,body_momentum,1775858520,"{""body_momentum"":0,""time"":1775858520}",1775859686
6173302506,985021106,heart_rate,1775858520,"{""time"":1775858520,""bpm"":113,""type"":0}",1775864419
6173302506,985021106,light_sensitivity_value,1775858460,"{""light_sensitivity_value"":0,""time"":1775858460}",1775859673
6173302506,985021106,body_momentum,1775858460,"{""body_momentum"":0,""time"":1775858460}",1775859686
6173302506,985021106,body_momentum,1775858400,"{""body_momentum"":0,""time"":1775858400}",1775859686
6173302506,985021106,valid_stand,1775858400,"{""end_time"":1775862000,""start_time"":1775858400}",1775864420
6173302506,985021106,light_sensitivity_value,1775858400,"{""light_sensitivity_value"":0,""time"":1775858400}",1775859673
6173302506,985021106,light_sensitivity_value,1775858340,"{""light_sensitivity_value"":0,""time"":1775858340}",1775859673
6173302506,985021106,body_momentum,1775858340,"{""body_momentum"":0,""time"":1775858340}",1775859686
6173302506,985021106,light_sensitivity_value,1775858280,"{""light_sensitivity_value"":0,""time"":1775858280}",1775859673
6173302506,985021106,body_momentum,1775858280,"{""body_momentum"":0,""time"":1775858280}",1775859686
6173302506,985021106,light_sensitivity_value,1775858220,"{""light_sensitivity_value"":0,""time"":1775858220}",1775859672
6173302506,985021106,body_momentum,1775858220,"{""body_momentum"":0,""time"":1775858220}",1775859686
6173302506,985021106,light_sensitivity_value,1775858160,"{""light_sensitivity_value"":0,""time"":1775858160}",1775859672
6173302506,985021106,body_momentum,1775858160,"{""body_momentum"":0,""time"":1775858160}",1775859686
6173302506,985021106,light_sensitivity_value,1775858100,"{""light_sensitivity_value"":0,""time"":1775858100}",1775859672
6173302506,985021106,body_momentum,1775858100,"{""body_momentum"":0,""time"":1775858100}",1775859686
6173302506,985021106,light_sensitivity_value,1775858040,"{""light_sensitivity_value"":0,""time"":1775858040}",1775859672
6173302506,985021106,body_momentum,1775858040,"{""body_momentum"":0,""time"":1775858040}",1775859686
6173302506,985021106,light_sensitivity_value,1775857980,"{""light_sensitivity_value"":0,""time"":1775857980}",1775859672
6173302506,985021106,body_momentum,1775857980,"{""body_momentum"":0,""time"":1775857980}",1775859686
6173302506,985021106,light_sensitivity_value,1775857920,"{""light_sensitivity_value"":0,""time"":1775857920}",1775859672
6173302506,985021106,body_momentum,1775857920,"{""body_momentum"":0,""time"":1775857920}",1775859686
6173302506,985021106,light_sensitivity_value,1775857860,"{""light_sensitivity_value"":0,""time"":1775857860}",1775859672
6173302506,985021106,body_momentum,1775857860,"{""body_momentum"":0,""time"":1775857860}",1775859686
6173302506,985021106,light_sensitivity_value,1775857800,"{""light_sensitivity_value"":0,""time"":1775857800}",1775859672
6173302506,985021106,body_momentum,1775857800,"{""body_momentum"":0,""time"":1775857800}",1775859686
6173302506,985021106,light_sensitivity_value,1775857740,"{""light_sensitivity_value"":0,""time"":1775857740}",1775859672
6173302506,985021106,body_momentum,1775857740,"{""body_momentum"":0,""time"":1775857740}",1775859686
6173302506,985021106,light_sensitivity_value,1775857680,"{""light_sensitivity_value"":0,""time"":1775857680}",1775859672
6173302506,985021106,body_momentum,1775857680,"{""body_momentum"":0,""time"":1775857680}",1775859686
6173302506,985021106,light_sensitivity_value,1775857620,"{""light_sensitivity_value"":0,""time"":1775857620}",1775859672
6173302506,985021106,body_momentum,1775857620,"{""body_momentum"":0,""time"":1775857620}",1775859686
6173302506,985021106,light_sensitivity_value,1775857560,"{""light_sensitivity_value"":0,""time"":1775857560}",1775859672
6173302506,985021106,body_momentum,1775857560,"{""body_momentum"":0,""time"":1775857560}",1775859686
6173302506,985021106,light_sensitivity_value,1775857500,"{""light_sensitivity_value"":0,""time"":1775857500}",1775859672
6173302506,985021106,body_momentum,1775857500,"{""body_momentum"":0,""time"":1775857500}",1775859686
6173302506,985021106,light_sensitivity_value,1775857440,"{""light_sensitivity_value"":0,""time"":1775857440}",1775859672
6173302506,985021106,body_momentum,1775857440,"{""body_momentum"":0,""time"":1775857440}",1775859686
6173302506,985021106,light_sensitivity_value,1775857380,"{""light_sensitivity_value"":0,""time"":1775857380}",1775859672
6173302506,985021106,body_momentum,1775857380,"{""body_momentum"":0,""time"":1775857380}",1775859686
6173302506,985021106,light_sensitivity_value,1775857320,"{""light_sensitivity_value"":0,""time"":1775857320}",1775859672
6173302506,985021106,body_momentum,1775857320,"{""body_momentum"":0,""time"":1775857320}",1775859685
6173302506,985021106,light_sensitivity_value,1775857260,"{""light_sensitivity_value"":0,""time"":1775857260}",1775859672
6173302506,985021106,body_momentum,1775857260,"{""body_momentum"":0,""time"":1775857260}",1775859685
6173302506,985021106,light_sensitivity_value,1775857200,"{""light_sensitivity_value"":0,""time"":1775857200}",1775859672
6173302506,985021106,body_momentum,1775857200,"{""body_momentum"":0,""time"":1775857200}",1775859685
6173302506,985021106,light_sensitivity_value,1775857140,"{""light_sensitivity_value"":0,""time"":1775857140}",1775859672
6173302506,985021106,body_momentum,1775857140,"{""body_momentum"":0,""time"":1775857140}",1775859685
6173302506,985021106,light_sensitivity_value,1775857080,"{""light_sensitivity_value"":0,""time"":1775857080}",1775859672
6173302506,985021106,body_momentum,1775857080,"{""body_momentum"":0,""time"":1775857080}",1775859685
6173302506,985021106,light_sensitivity_value,1775857020,"{""light_sensitivity_value"":0,""time"":1775857020}",1775859672
6173302506,985021106,body_momentum,1775857020,"{""body_momentum"":0,""time"":1775857020}",1775859685
6173302506,985021106,light_sensitivity_value,1775856960,"{""light_sensitivity_value"":0,""time"":1775856960}",1775859672
6173302506,985021106,body_momentum,1775856960,"{""body_momentum"":0,""time"":1775856960}",1775859685
6173302506,985021106,light_sensitivity_value,1775856900,"{""light_sensitivity_value"":0,""time"":1775856900}",1775859672
6173302506,985021106,body_momentum,1775856900,"{""body_momentum"":0,""time"":1775856900}",1775859685
6173302506,985021106,light_sensitivity_value,1775856840,"{""light_sensitivity_value"":0,""time"":1775856840}",1775859672
6173302506,985021106,body_momentum,1775856840,"{""body_momentum"":0,""time"":1775856840}",1775859685
6173302506,985021106,light_sensitivity_value,1775856780,"{""light_sensitivity_value"":0,""time"":1775856780}",1775859672
6173302506,985021106,body_momentum,1775856780,"{""body_momentum"":0,""time"":1775856780}",1775859685
6173302506,985021106,light_sensitivity_value,1775856720,"{""light_sensitivity_value"":0,""time"":1775856720}",1775859672
